"uuid","name"
"abce529968d54313b156de5716e1fe98","HOD - L1800 x W1800 with fixed sliding cabinet"
"abce8e84a1ca426781bd52838caffe98","HOD - L1800 x W1800 with fixed sliding cabinet"
"abce1398e8cf4ed0b4f9670fe22cfe98","Staff - Free Standing Table L1500 with mobile pedestal"
"abcecda453f94f5c9f86f4003ddffe98","Staff - Free Standing Table L1500 with mobile pedestal"
"abce872459874d42ac1004932f50fe98","Low Swing Door Filling Cabinet - L900 x H900 x W430  - For 2 Arch Files"
"abce6deeaddc4353961d273f1f12fe98","Low Swing Door Filling Cabinet - L900 x H900 x W430 - For 2 Arch Files"
"abce4ed72a97418d9eb2613327befe98","High Swing Door Filling Cabinet - L900 x H2100 x W430 - for 5 Arch Files"
"abce0552c7f54f739302f185ddf5fe98","High Swing Door Filling Cabinet - L900 x H2100 x W430 - for 5 Arch Files"
"abce3f0c9c004e0c85b0cc4a92eefe98","MFC High Cabinet H2100 x L900 x W450"
"abce422359e4481098f0aefcb6d6fe98","High Swing Door Filling Cabinet - L900 x H2100 x W430 - for 5 Arch Files"
"abce8fe86b104f16ac46c4d3077ffe98","High Swing Door Filling Cabinet - L900 x H2100 x W430 - for 5 Arch Files"
"abceec8e4d724f43a89da15611c4fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce4bef181344dc83ac45254de6fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce61c361074e96836694bba57efe98","Low back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce709a41c8496c9f71f7c78a04fe98","Low back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce9c948cc44b7e896d1082d5b1fe98","Magnetive White Board 60cm x 90cm"
"abcefb15d59645d8bda7cd0f0144fe98","Sliding Door Cabinet"
"abcea18bd2684acc9bb621fc987ffe98","Sliding Door Cabinet"
"abce938943f4412a8d02e6b7c45bfe98","Sliding Door Cabinet"
"abce81b8bd6d4cfa9d370bc2fac7fe98","York Air Cond 2 H/P"
"abce63d202cd461babca95f124d4fe98","Open Shelves Cabinet"
"abcea31e9d2e4323b5b36b9680cefe98","Open Type Shelving"
"abce2961e7444c21974ae9e1d2a3fe98","Open Type Shelving"
